1,DATOOUHTADEU,dato:u:ta"dOY,o:u:,DE
2,ATASÖTTADAU,?ataz9ta"daU,z9,DE
3,DATASCHAHTADEU,dataZa:ta"dOY,Za:,DE
4,ATATAITADEU,?atataIta"dOY,taI,DE
5,DATAFÜHTADEU,da:tafy:ta"dOY,fy:,DE
6,PATÄPFADAU,patEpfa:"daU,Epf,DE
7,PATASCHPFADAU,pataSpfa:"daU,Spf,DE
8,ATATZETADEU,?atats@ta"dOY,ts@,DE
9,ATÄOTTADAU,?atEOta"daU,EO,DE
10,ATASÄTTADAU,?atazEta"daU,zE,DE
11,DATAFAHTADEU,da:tafa:ta"dOY,fa:,DE
12,PATAFKADAU,patafka"daU,fk,DE
13,ADOPPADAI,?adOpa"daI,Op,DE
14,PATANGGADAU,pataNga"daU,Ng,DE
15,ATABATTADAU,?atabata"daU,ba,DE
16,PATACHTSCHADAU,pataxtSa:"daU,xtS,DE
17,ADUH ADAI,?adu:?a"daI,u:?,DE
18,ATTECHAUTADEU,?atECaUta"dOY,CaU,DE
19,ATAMÖTTADAU,?atam9ta"daU,m9,DE
20,ATAIATTADAU,?ataIata"daU,aIa,DE
21,ATASCHEITADEU,?ataZaIta"dOY,ZaI,DE
22,ATABBERTADEU,?atab6ta"dOY,b6,DE
23,ATAÖTTADAU,?ata9ta"daU,a9,DE
24,ATATSADAI,?atatsa"daI,ts,DE
25,ATÖRRADEU,?at9Ra"dOY,9R,DE
26,ATÜÖTTADAU,?atY9ta"daU,Y9,DE
27,ATTÖEDADAU,?at9@da:"daU,9@,DE
28,DATTERUHTADEU,dat6u:ta"dOY,6u:,DE
29,ATARSCHADAI,?ataRSa"daI,RS,DE
30,DATACHUHTADEU,da:taxu:ta"dOY,xu:,DE
31,ATANATTADAU,?atanata"daU,na,DE
32,PATEUPFADAU,patOYpfa:"daU,OYpf,DE
33,DATAFIEHTADEU,da:tafi:ta"dOY,fi:,DE
34,ATASCH ADAI,?ataS?a"daI,S?,DE
35,DATATZIEHTADEU,datatsi:ta"dOY,tsi:,DE
36,ATASATTADAU,?atasata"daU,sa,DE
37,PATAUKADAU,pataUka"daU,aUk,DE
38,ATAMÄTTADAU,?atamEta"daU,mE,DE
39,ATATSCHDADAI,?atatSda"daI,tSd,DE
40,ADAHSADAI,?ada:sa"daI,a:s,DE
41,ATAFCHADEU,?atafxa"dOY,fx,DE
42,DATAUÄHTADEU,da:taUE:ta"dOY,aUE:,DE
43,ATANGPADAI,?ataNpa"daI,Np,DE
44,DATADEHTADEU,da:tade:ta"dOY,de:,DE
45,ATAPÄTTADAU,?atapEta"daU,pE,DE
46,PATÜCKADAU,patYka"daU,Yk,DE
47,ATANGTADAI,?ataNta"daI,Nt,DE
48,ATTERDADAI,?at6da"daI,6d,DE
49,ATUITTADAU,?atu:Ita"daU,u:I,DE
50,ATTE ADAI,?at@?a"daI,@?,DE
51,ADAUBADAI,?adaUba:"daI,aUb,DE
52,ADÄHPADAI,?adE:pa"daI,E:p,DE
53,ADÖWWADAI,?ad9va"daI,9v,DE
54,ADEUSCHADAI,?adOYSa:"daI,OYS,DE
55,ATAHERTADEU,?atah6ta"dOY,h6,DE
56,ADEETADEI,?ade:ta"daI,e:t,DE
57,ATASCHCHADAI,?ataZxa"daI,Zx,DE
58,ATUATTADAU,?atu:ata"daU,u:a,DE
59,ATATZSCHADAI,?atatsSa:"daI,tsS,DE
60,ATTECHTADAI,?atECta"daI,Ct,DE
61,DATEUÖHTADEU,da:tOY2:ta"dOY,OY2:,DE
62,ATUÄTTADAU,?atu:Eta"daU,u:E,DE
63,ATACHATTADAU,?ataxata"daU,xa,DE
64,ATEECHADEU,?a:te:Ca"dOY,e:C,DE
65,DATASCHUHTADEU,dataZu:ta"dOY,Zu:,DE
66,PATATTSCHADAU,patattSa"daU,ttS,DE
67,ADAIWADAU,?adaIva:"daU,aIv,DE
68,ATAWRADEU,?atavRa"dOY,vR,DE
69,ATADITTADAU,?atadIta"daU,dI,DE
70,ADACHADAI,?adaxa"daI,ax,DE
71,DATUÄHTADEU,datu:E:ta"dOY,u:E:,DE
72,ATATSCHHADEU,?atatSha"dOY,tSh,DE
73,ATTECHBADAI,?atECba:"daI,Cb,DE
74,ATASCHETADEU,?ataZ@ta"dOY,Z@,DE
75,TADISSADAI,ta:dIsa"daI,<p:>t,DE
76,ATAFNADEU,?atafna"dOY,fn,DE
77,ATANSADAI,?atansa"daI,ns,DE
78,ATAIEDADAU,?ataI@da:"daU,aI@,DE
79,ATAJADAU,?ataja:"daU,aj,DE
80,ATASRADEU,?atazRa"dOY,zR,DE
81,ATAGUTTADAU,?ata:gUta"daU,gU,DE
82,DATATOHTADEU,datato:ta"dOY,to:,DE
83,ATIMMADAU,?atIma:"daU,Im,DE
84,ATAITTADAU,?ataIta"daU,aI,DE
85,ADAISCHADEU,?adaIZa"dOY,aIZ,DE
86,ATAPFÖTTADAU,?atapf9ta"daU,pf9,DE
87,ATAMSADAI,?atamsa"daI,ms,DE
88,PATASCHTSADAU,pataStsa"daU,Sts,DE
89,ADÖH ADAI,?ad2:?a"daI,2:?,DE
90,ATAPFLADAU,?atapfla:"daU,pfl,DE
91,ADÖHBADAI,?ad2:ba:"daI,2:b,DE
92,ADÜCHADAI,?adYCa"daI,YC,DE
93,ATAG ADAI,?atag?a"daI,g?,DE
94,DATEUÜHTADEU,da:tOYy:ta"dOY,OYy:,DE
95,ATANBADAI,?atanba:"daI,nb,DE
96,PATEGADAU,pat@ga"daU,@g,DE
97,ATAFÖTTADAU,?ataf9ta"daU,f9,DE
98,PATÜPFADAU,patYpfa:"daU,Ypf,DE
99,ATASCHÖTTADAU,?ataZ9ta"daU,Z9,DE
100,ATAW ADAI,?atav?a"daI,v?,DE
101,ATANGÜTTADAU,?ataNYta"daU,NY,DE
102,ADAH ADAI,?ada:?a"daI,a:?,DE
103,PATANKADAU,patanka"daU,nk,DE
104,PATEEFADAU,pa:te:fa:"daU,e:f,DE
105,ATANGJADAU,?ataNja:"daU,Nj,DE
106,ATATZÜTTADAU,?atatsYta"daU,tsY,DE
107,ADISSADAG,"?adIsadag,g<p:>,DE
108,ADIDDADAI,?adIda"daI,Id,DE
109,PATASPFADAU,pataspfa:"daU,spf,DE
110,DATEEOHTADEU,da:te:o:ta"dOY,e:o:,DE
111,DATUAHTADEU,datu:a:ta"dOY,u:a:,DE
112,ATABHADEU,?atabha"dOY,bh,DE
113,ATAFSADAI,?atafsa"daI,fs,DE
114,DATÄUHTADEU,datE:u:ta"dOY,E:u:,DE
115,ATAPFAUTADEU,?atapfaUta"dOY,pfaU,DE
116,PATASFADAU,patasfa:"daU,sf,DE
117,ATATSCHADAI,?atatSa:"daI,tS,DE
118,ATAPAUTADEU,?atapaUta"dOY,paU,DE
119,PATAWPFADAU,patavpfa:"daU,vpf,DE
120,ATTAJETADEU,?atadj@ta"dOY,j@,DE
121,PATÜHGADAU,paty:ga"daU,y:g,DE
122,PATANTSCHADAU,patantSa:"daU,ntS,DE
123,ATAMUTTADAU,?atamUta"daU,mU,DE
124,ATARRETADEU,?ataR@ta"dOY,R@,DE
125,ADISSADDU,"?a:dIsadU,U<p:>,DE
126,ATABNADEU,?atabna"dOY,bn,DE
127,ATATZTADAI,?atatsta"daI,tst,DE
128,PATATTSADAU,patattsa"daU,tts,DE
129,ATAFSCHADAI,?atafZa"daI,fZ,DE
130,ATAJDADAI,?atajda"daI,jd,DE
131,ATEEUTTADAU,?a:te:Uta"daU,e:U,DE
132,ATAHNGADEU,?atahNa"dOY,hN,DE
133,ATAPITTADAU,?atapIta"daU,pI,DE
134,ATAÜTTADAU,?ataYta"daU,aY,DE
135,ATAWMADAU,?atavma:"daU,vm,DE
136,ATATZMADAU,?atatsma:"daU,tsm,DE
137,DATASAHTADEU,da:taza:ta"dOY,za:,DE
138,KADISSADAI,ka:dIsa"daI,<p:>k,DE
139,DATTECHOHTADEU,dat@Co:ta"dOY,Co:,DE
140,ATANPADAI,?atanpa"daI,np,DE
