File-nr,logatome,SAM-PA,diphone,language
1,DATOOUHTADEU,dato:u:tadOY,o:u:,DE
2,ATASÖTTADAU,Qataz9tadaU,z9,DE
3,DATASCHAHTADEU,dataZa:tadOY,Za:,DE
4,ATATAITADEU,QatataItadOY,taI,DE
5,DATAFÜHTADEU,da:tafy:tadOY,fy:,DE
6,PATÄPFADAU,patEpfa:daU,Epf,DE
7,PATASCHPFADAU,pataSpfa:daU,Spf,DE
8,ATATZETADEU,Qatats@tadOY,ts@,DE
9,ATÄOTTADAU,QatEOtadaU,EO,DE
10,ATASÄTTADAU,QatazEtadaU,zE,DE
11,DATAFAHTADEU,da:tafa:tadOY,fa:,DE
12,PATAFKADAU,patafkadaU,fk,DE
13,ADOPPADAI,QadOpadaI,Op,DE
14,PATANGGADAU,pataNgadaU,Ng,DE
15,ATABATTADAU,QatabatadaU,ba,DE
16,PATACHTSCHADAU,pataxtSa:daU,xtS,DE
17,ADUH ADAI,Qadu:QadaI,u:Q,DE
18,ATTECHAUTADEU,QatECaUtadOY,CaU,DE
19,ATAMÖTTADAU,Qatam9tadaU,m9,DE
20,ATAIATTADAU,QataIatadaU,aIa,DE
21,ATASCHEITADEU,QataZaItadOY,ZaI,DE
22,ATABBERTADEU,Qatab6tadOY,b6,DE
23,ATAÖTTADAU,Qata9tadaU,a9,DE
24,ATATSADAI,QatatsadaI,ts,DE
25,ATÖRRADEU,Qat9RadOY,9R,DE
26,ATÜÖTTADAU,QatY9tadaU,Y9,DE
27,ATTÖEDADEU,Qat9@da:daU,9@,DE
28,DATTERUHTADEU,dat6u:tadOY,6u:,DE
29,ATARSCHADAI,QataRSadaI,RS,DE
30,DATACHUHTADEU,da:taxu:tadOY,xu:,DE
31,ATANATTADAU,QatanatadaU,na,DE
32,PATEUPFADAU,patOYpfa:daU,OYpf,DE
33,DATAFIEHTADEU,da:tafi:tadOY,fi:,DE
34,ATASCH ADAI,QataSQadaI,SQ,DE
35,DATATZIEHTADEU,datatsi:tadOY,tsi:,DE
36,ATASATTADAU,QatasatadaU,sa,DE
37,PATAUKADAU,pataUkadaU,aUk,DE
38,ATAMÄTTADAU,QatamEtadaU,mE,DE
39,ATATSCHDADAI,QatatSdadaI,tSd,DE
40,ADAHSADAI,Qada:sadaI,a:s,DE
41,ATAFCHADEU,QatafxadOY,fx,DE
42,DATAUÄHTADEU,da:taUE:tadOY,aUE:,DE
43,ATANGPADAI,QataNpadaI,Np,DE
44,DATADEHTADEU,da:tade:tadOY,de:,DE
45,ATAPÄTTADAU,QatapEtadaU,pE,DE
46,PATÜCKADAU,patYkadaU,Yk,DE
47,ATANGTADAI,QataNtadaI,Nt,DE
48,ATTERDADAI,Qat6dadaI,6d,DE
49,ATUITTADAU,Qatu:ItadaU,u:I,DE
50,ATTE ADAI,Qat@QadaI,@Q,DE
51,ADAUBADAI,QadaUba:daI,aUb,DE
52,ADÄHPADAI,QadE:padaI,E:p,DE
53,ADÖWWADAI,Qad9vadaI,9v,DE
54,ADEUSCHADAI,QadOYSa:daI,OYS,DE
55,ATAHERTADEU,Qatah6tadOY,h6,DE
56,ADEETADEI,Qade:tadaI,e:t,DE
57,ATASCHCHADAI,QataZxadaI,Zx,DE
58,ATUATTADAU,Qatu:atadaU,u:a,DE
59,ATATZSCHADAI,QatatsSa:daI,tsS,DE
60,ATTECHTADAI,QatECtadaI,Ct,DE
61,DATEUÖHTADEU,da:tOY2:tadOY,OY2:,DE
62,ATUÄTTADAU,Qatu:EtadaU,u:E,DE
63,ATACHATTADAU,QataxatadaU,xa,DE
64,ATEECHADEU,Qa:te:CadOY,e:C,DE
65,DATASCHUHTADEU,dataZu:tadOY,Zu:,DE
