File-nr,logatome,SAM"-PA,diphone,language
1,DATOOUHTADEU,dato:u:ta"dOY,o:u:,DE
2,ATASÖTTADAU,Qataz9ta"daU,z9,DE
3,DATASCHAHTADEU,dataZa:ta"dOY,Za:,DE
4,ATATAITADEU,QatataIta"dOY,taI,DE
5,DATAFÜHTADEU,da:tafy:ta"dOY,fy:,DE
6,PATÄPFADAU,patEpfa:"daU,Epf,DE
7,PATASCHPFADAU,pataSpfa:"daU,Spf,DE
8,ATATZETADEU,Qatats@ta"dOY,ts@,DE
9,ATÄOTTADAU,QatEOta"daU,EO,DE
10,ATASÄTTADAU,QatazEta"daU,zE,DE
11,DATAFAHTADEU,da:tafa:ta"dOY,fa:,DE
12,PATAFKADAU,patafka"daU,fk,DE
13,ADOPPADAI,QadOpa"daI,Op,DE
14,PATANGGADAU,pataNga"daU,Ng,DE
15,ATABATTADAU,Qatabata"daU,ba,DE
16,PATACHTSCHADAU,pataxtSa:"daU,xtS,DE
17,ADUH ADAI,Qadu:Qa"daI,u:Q,DE
18,ATTECHAUTADEU,QatECaUta"dOY,CaU,DE
19,ATAMÖTTADAU,Qatam9ta"daU,m9,DE
20,ATAIATTADAU,QataIata"daU,aIa,DE
21,ATASCHEITADEU,QataZaIta"dOY,ZaI,DE
22,ATABBERTADEU,Qatab6ta"dOY,b6,DE
23,ATAÖTTADAU,Qata9ta"daU,a9,DE
24,ATATSADAI,Qatatsa"daI,ts,DE
25,ATÖRRADEU,Qat9Ra"dOY,9R,DE
26,ATÜÖTTADAU,QatY9ta"daU,Y9,DE
27,ATTÖEDADEU,Qat9@da:"daU,9@,DE
28,DATTERUHTADEU,dat6u:ta"dOY,6u:,DE
29,ATARSCHADAI,QataRSa"daI,RS,DE
30,DATACHUHTADEU,da:taxu:ta"dOY,xu:,DE
31,ATANATTADAU,Qatanata"daU,na,DE
32,PATEUPFADAU,patOYpfa:"daU,OYpf,DE
33,DATAFIEHTADEU,da:tafi:ta"dOY,fi:,DE
34,ATASCH ADAI,QataSQa"daI,SQ,DE
35,DATATZIEHTADEU,datatsi:ta"dOY,tsi:,DE
36,ATASATTADAU,Qatasata"daU,sa,DE
37,PATAUKADAU,pataUka"daU,aUk,DE
38,ATAMÄTTADAU,QatamEta"daU,mE,DE
39,ATATSCHDADAI,QatatSda"daI,tSd,DE
40,ADAHSADAI,Qada:sa"daI,a:s,DE
41,ATAFCHADEU,Qatafxa"dOY,fx,DE
42,DATAUÄHTADEU,da:taUE:ta"dOY,aUE:,DE
43,ATANGPADAI,QataNpa"daI,Np,DE
44,DATADEHTADEU,da:tade:ta"dOY,de:,DE
45,ATAPÄTTADAU,QatapEta"daU,pE,DE
46,PATÜCKADAU,patYka"daU,Yk,DE
47,ATANGTADAI,QataNta"daI,Nt,DE
48,ATTERDADAI,Qat6da"daI,6d,DE
49,ATUITTADAU,Qatu:Ita"daU,u:I,DE
50,ATTE ADAI,Qat@Qa"daI,@Q,DE
51,ADAUBADAI,QadaUba:"daI,aUb,DE
52,ADÄHPADAI,QadE:pa"daI,E:p,DE
53,ADÖWWADAI,Qad9va"daI,9v,DE
54,ADEUSCHADAI,QadOYSa:"daI,OYS,DE
55,ATAHERTADEU,Qatah6ta"dOY,h6,DE
56,ADEETADEI,Qade:ta"daI,e:t,DE
57,ATASCHCHADAI,QataZxa"daI,Zx,DE
58,ATUATTADAU,Qatu:ata"daU,u:a,DE
59,ATATZSCHADAI,QatatsSa:"daI,tsS,DE
60,ATTECHTADAI,QatECta"daI,Ct,DE
61,DATEUÖHTADEU,da:tOY2:ta"dOY,OY2:,DE
62,ATUÄTTADAU,Qatu:Eta"daU,u:E,DE
